W/B,RCA%,GGBFS%,Sp,Age,Cs
0.4,0,0,2.28,28,56.63207547
0.394298246,0,15,2.28,28,52.73584906
0.388377193,0,30,2.28,28,49.83962264
0.38245614,0,45,2.28,28,34.36792453
0.4,25,0,2.28,28,54.16981132
0.394298246,25,15,2.28,28,49.27358491
0.388377193,25,30,2.28,28,46.23584906
0.38245614,25,45,2.28,28,32.90566038
0.4,50,0,2.28,28,50.78301887
0.394298246,50,15,2.28,28,44.17924528
0.388377193,50,30,2.28,28,42.19811321
0.38245614,50,45,2.28,28,32.00943396
0.4,75,0,2.28,28,47.04716981
0.394298246,75,15,2.28,28,41.99056604
0.388377193,75,30,2.28,28,38.12264151
0.38245614,75,45,2.28,28,29.79245283
0.4,100,0,2.28,28,45.24528302
0.394298246,100,15,2.28,28,38.98113208
0.388377193,100,30,2.28,28,35.28301887
0.38245614,100,45,2.28,28,26.47169811
0.5,0,55,0,7,25
0.5,0,55,0,28,42
0.5,0,55,0,90,53
0.5,50,55,0,7,28
0.5,50,55,0,28,43
0.5,50,55,0,90,53
0.5,100,55,0,7,20
0.5,100,55,0,28,39
0.5,100,55,0,90,50
0.5,0,0,3.04,7,41.9
0.5,0,0,3.04,28,47.6
0.5,0,30,3.04,7,29.1
0.5,0,30,3.04,28,40
0.5,0,60,3.04,7,15.2
0.5,0,60,3.04,28,32.5
0.5,25,0,3.42,7,41.7
0.5,25,0,3.42,28,46.3
0.5,25,30,3.42,7,31.3
0.5,25,30,3.42,28,38.8
0.5,25,60,3.42,7,17.2
0.5,25,60,3.42,28,33.4
0.5,50,0,3.42,7,42
0.5,50,0,3.42,28,44.4
0.5,50,30,3.42,7,33.4
0.5,50,30,3.42,28,39.7
0.5,50,60,3.42,7,17.6
0.5,50,60,3.42,28,34.9
0.5,100,0,3.8,7,43.8
0.5,100,0,3.8,28,44.3
0.5,100,30,3.8,7,33.3
0.5,100,30,3.8,28,41.7
0.5,100,60,3.8,7,19.4
0.5,100,60,3.8,28,35.4
0.37027027,100,60,7.8,7,36.33333333
0.37027027,100,60,7.8,28,48
0.37027027,100,60,7.8,56,56.3
0.37027027,100,70,7.8,7,32.33333333
0.37027027,100,70,7.8,28,41.5
0.37027027,100,70,7.8,56,48.3
0.37027027,100,80,7.8,7,28.66666667
0.37027027,100,80,7.8,28,40.33333333
0.37027027,100,80,7.8,56,45.2
0.37027027,100,90,7.8,7,20.83333333
0.37027027,100,90,7.8,28,30.5
0.37027027,100,90,7.8,56,34
0.5,0,0,0,7,29
0.5,0,20,0,7,25.81
0.5,0,40,0,7,24.186
0.5,0,60,0,7,20.648
0.520512821,25,0,0,7,27.5
0.520512821,25,20,0,7,24.4475
0.520512821,25,40,0,7,22.4125
0.520512821,25,60,0,7,20.35
0.530769231,50,0,0,7,25
0.530769231,50,20,0,7,23.25
0.530769231,50,40,0,7,21.75
0.530769231,50,60,0,7,19
0.551282051,100,0,0,7,22.5
0.551282051,100,20,0,7,20.0025
0.551282051,100,40,0,7,18
0.551282051,100,60,0,7,16.02
0.5,0,0,0,28,37.5
0.5,0,20,0,28,34.7625
0.5,0,40,0,28,33.2625
0.5,0,60,0,28,28.8
0.520512821,25,0,0,28,36
0.520512821,25,20,0,28,33.552
0.520512821,25,40,0,28,31.752
0.520512821,25,60,0,28,28.08
0.530769231,50,0,0,28,33
0.530769231,50,20,0,28,31.944
0.530769231,50,40,0,28,31.35
0.530769231,50,60,0,28,27.588
0.551282051,100,0,0,28,30
0.551282051,100,20,0,28,27.54
0.551282051,100,40,0,28,26.07
0.551282051,100,60,0,28,23.61
0.5,0,0,0,90,46
0.5,0,20,0,90,43.746
0.5,0,40,0,90,42.78
0.5,0,60,0,90,39.422
0.520512821,25,0,0,90,45
0.520512821,25,20,0,90,43.02
0.520512821,25,40,0,90,41.535
0.520512821,25,60,0,90,39.33
0.530769231,50,0,0,90,42
0.530769231,50,20,0,90,41.16
0.530769231,50,40,0,90,41.034
0.530769231,50,60,0,90,38.85
0.551282051,100,0,0,90,37.5
0.551282051,100,20,0,90,35.85
0.551282051,100,40,0,90,34.95
0.551282051,100,60,0,90,34.05
0.425764192,40,0,1.15,7,23
0.425764192,40,0,1.15,28,32
0.425764192,40,0,1.15,56,35.1
0.42638484,40,25,1.15,7,23.3
0.42638484,40,25,1.15,28,28.4
0.42638484,40,25,1.15,56,31.1
0.425764192,40,50,1.15,7,20.3
0.425764192,40,50,1.15,28,24.8
0.425764192,40,50,1.15,56,25.7
0.425764192,40,75,1.15,7,12.4
0.425764192,40,75,1.15,28,19.2
0.425764192,40,75,1.15,56,19.9
0.25,100,0,2.04,7,50
0.35,100,0,1.2,7,40
0.45,100,0,0.756,7,28
0.55,100,0,0.309,7,22
0.65,100,0,0,7,17
0.75,100,0,0,7,17
0.25,100,50,1.19,7,38
0.35,100,50,0.6075,7,28
0.45,100,50,0.378,7,20
0.55,100,50,0.2325,7,17
0.65,100,50,0.131,7,12
0.75,100,50,0,7,11
0.25,100,0,2.04,28,64
0.35,100,0,1.2,28,50
0.45,100,0,0.756,28,38
0.55,100,0,0.309,28,30
0.65,100,0,0,28,22
0.75,100,0,0,28,19
0.25,100,50,1.19,28,55
0.35,100,50,0.6075,28,41
0.45,100,50,0.378,28,32
0.55,100,50,0.2325,28,25
0.65,100,50,0.131,28,21
0.75,100,50,0,28,18
0.25,100,0,2.04,90,65
0.35,100,0,1.2,90,52
0.45,100,0,0.756,90,43
0.55,100,0,0.309,90,33
0.65,100,0,0,90,22
0.75,100,0,0,90,21
0.25,100,50,1.19,90,68
0.35,100,50,0.6075,90,55
0.45,100,50,0.378,90,45
0.55,100,50,0.2325,90,35
0.65,100,50,0.131,90,25
0.75,100,50,0,90,23
0.5,50,20,2.1,7,18.6
0.5,50,20,2.1,28,30.5
0.5,50,20,2.1,90,40.4
